Cluster Index	Location Label
cluster_00246.vtp	h
cluster_00247.vtp	h
cluster_00248.vtp	h
cluster_00249.vtp	h
cluster_00250.vtp	h
cluster_00251.vtp	c
cluster_00252.vtp	c
cluster_00253.vtp	c
cluster_00254.vtp	h
cluster_00255.vtp	h
cluster_00256.vtp	h
cluster_00257.vtp	h
cluster_00258.vtp	c
cluster_00259.vtp	h
cluster_00260.vtp	h
cluster_00261.vtp	h
cluster_00262.vtp	h
cluster_00263.vtp	c
cluster_00264.vtp	c
cluster_00265.vtp	h
cluster_00266.vtp	h
cluster_00267.vtp	h
cluster_00268.vtp	h
cluster_00269.vtp	c
cluster_00270.vtp	h
cluster_00271.vtp	h
cluster_00272.vtp	c
cluster_00273.vtp	h
cluster_00274.vtp	h
cluster_00275.vtp	h
cluster_00276.vtp	h
cluster_00277.vtp	h
cluster_00278.vtp	h
cluster_00279.vtp	h
cluster_00280.vtp	h
cluster_00281.vtp	h
cluster_00282.vtp	h
cluster_00283.vtp	h
cluster_00284.vtp	h
cluster_00285.vtp	h
cluster_00286.vtp	h
cluster_00287.vtp	h
cluster_00288.vtp	h
cluster_00289.vtp	h
cluster_00290.vtp	h
cluster_00291.vtp	h
cluster_00292.vtp	h
cluster_00293.vtp	h
cluster_00294.vtp	h
cluster_00295.vtp	h
cluster_00296.vtp	h
cluster_00297.vtp	h
cluster_00298.vtp	h
cluster_00299.vtp	h
cluster_00300.vtp	h
cluster_00301.vtp	h
cluster_00302.vtp	h
cluster_00303.vtp	h
cluster_00304.vtp	h
cluster_00305.vtp	h
cluster_00306.vtp	c
cluster_00307.vtp	h
cluster_00308.vtp	h
cluster_00309.vtp	h
cluster_00310.vtp	h
cluster_00311.vtp	h
cluster_00312.vtp	c
cluster_00313.vtp	h
cluster_00314.vtp	h
cluster_00315.vtp	c
cluster_00316.vtp	h
cluster_00317.vtp	h
cluster_00318.vtp	h
cluster_00319.vtp	h
cluster_00320.vtp	h
cluster_00321.vtp	h
cluster_00322.vtp	h
cluster_00323.vtp	c
cluster_00324.vtp	h
cluster_00325.vtp	h
cluster_00326.vtp	h
cluster_00327.vtp	h
cluster_00328.vtp	h
cluster_00329.vtp	h
cluster_00330.vtp	h
cluster_00331.vtp	c
cluster_00332.vtp	h
cluster_00333.vtp	h
cluster_00334.vtp	h
cluster_00335.vtp	c
cluster_00336.vtp	h
cluster_00337.vtp	h
cluster_00338.vtp	h
cluster_00339.vtp	c
cluster_00340.vtp	h
cluster_00341.vtp	h
cluster_00342.vtp	h
cluster_00343.vtp	c
cluster_00344.vtp	h
cluster_00345.vtp	h
cluster_00346.vtp	h
cluster_00347.vtp	h
cluster_00348.vtp	h
cluster_00349.vtp	h
cluster_00350.vtp	h
cluster_00351.vtp	c
cluster_00352.vtp	h
cluster_00353.vtp	h
cluster_00354.vtp	h
cluster_00355.vtp	h
cluster_00356.vtp	h
cluster_00357.vtp	h
cluster_00358.vtp	h
cluster_00359.vtp	h
cluster_00360.vtp	h
cluster_00361.vtp	h
cluster_00362.vtp	h
cluster_00363.vtp	h
cluster_00364.vtp	c
cluster_00365.vtp	h
cluster_00366.vtp	h
cluster_00367.vtp	h
cluster_00368.vtp	h
cluster_00369.vtp	h
cluster_00370.vtp	h
cluster_00371.vtp	h
cluster_00372.vtp	c
cluster_00373.vtp	h
cluster_00374.vtp	h
cluster_00375.vtp	h
cluster_00376.vtp	c
cluster_00377.vtp	h
cluster_00378.vtp	h
cluster_00379.vtp	h
cluster_00380.vtp	h
cluster_00381.vtp	h
cluster_00382.vtp	h
cluster_00383.vtp	h
cluster_00384.vtp	h
cluster_00385.vtp	h
cluster_00386.vtp	h
cluster_00387.vtp	h
cluster_00388.vtp	h
cluster_00389.vtp	h
cluster_00390.vtp	h
cluster_00391.vtp	h
cluster_00392.vtp	h
cluster_00393.vtp	h
cluster_00394.vtp	h
cluster_00395.vtp	h
cluster_00396.vtp	h
cluster_00397.vtp	h
cluster_00398.vtp	h
cluster_00399.vtp	h
cluster_00400.vtp	h
cluster_00401.vtp	h
cluster_00402.vtp	h
cluster_00403.vtp	h
cluster_00404.vtp	c
cluster_00405.vtp	h
cluster_00406.vtp	h
cluster_00407.vtp	h
cluster_00408.vtp	h
cluster_00409.vtp	h
cluster_00410.vtp	h
cluster_00411.vtp	c
cluster_00412.vtp	h
cluster_00413.vtp	h
cluster_00414.vtp	h
cluster_00415.vtp	h
cluster_00416.vtp	h
cluster_00417.vtp	h
cluster_00418.vtp	h
cluster_00419.vtp	h
cluster_00420.vtp	h
cluster_00421.vtp	h
cluster_00422.vtp	h
cluster_00423.vtp	h
cluster_00424.vtp	h
cluster_00425.vtp	h
cluster_00426.vtp	h
cluster_00427.vtp	h
cluster_00428.vtp	h
cluster_00429.vtp	h
cluster_00430.vtp	h
cluster_00431.vtp	h
cluster_00432.vtp	h
cluster_00433.vtp	h
cluster_00434.vtp	h
cluster_00435.vtp	h
cluster_00436.vtp	h
cluster_00437.vtp	h
cluster_00438.vtp	c
cluster_00439.vtp	h
cluster_00440.vtp	h
cluster_00441.vtp	c
cluster_00442.vtp	h
cluster_00443.vtp	h
cluster_00444.vtp	h
cluster_00445.vtp	h
cluster_00446.vtp	h
cluster_00447.vtp	h
cluster_00448.vtp	h
cluster_00449.vtp	c
cluster_00450.vtp	h
cluster_00451.vtp	h
cluster_00452.vtp	h
cluster_00453.vtp	h
cluster_00454.vtp	h
cluster_00455.vtp	h
cluster_00456.vtp	h
cluster_00457.vtp	c
cluster_00458.vtp	h
cluster_00459.vtp	h
cluster_00460.vtp	h
cluster_00461.vtp	h
cluster_00462.vtp	h
cluster_00463.vtp	h
cluster_00464.vtp	h
cluster_00465.vtp	h
cluster_00466.vtp	c
cluster_00467.vtp	h
cluster_00468.vtp	h
cluster_00469.vtp	c
cluster_00470.vtp	h
cluster_00471.vtp	h
cluster_00472.vtp	h
cluster_00473.vtp	h
cluster_00474.vtp	h
cluster_00475.vtp	h
cluster_00476.vtp	c
cluster_00477.vtp	h
cluster_00478.vtp	h
