Cluster Index,Region:Probability,
cluster_00001,'4008:0.998553','2008:0.923300','4015:0.898698','2015:0.816208','4001:0.736614','4009:0.228654','2009:0.183792','4031:0.137482','5002:0.118669','2001:0.094067','2031:0.079595','0:0.050651','2030:0.013025','4011:0.011577','4029:0.010130','4013:0.004342','4007:0.004342','4030:0.002894','2011:0.001447',
cluster_00002,'4029:0.930314','4007:0.832753','2029:0.796167','4008:0.780488','4025:0.707317','4011:0.649826','2007:0.628920','4009:0.590592','5002:0.566202','2009:0.358885','4013:0.270035','2008:0.212544','0:0.125436','2025:0.125436','47:0.108014','4015:0.083624','2011:0.081882','4021:0.047038','43:0.036585','2015:0.015679','63:0.012195','46:0.005226','4001:0.003484','2016:0.003484','4005:0.001742','2013:0.001742',
cluster_00003,'4008:0.990369','2008:0.871589','4015:0.808989','4009:0.582665','2015:0.542536','2009:0.515249','4001:0.438202','5002:0.402889','4031:0.226324','2031:0.149278','4029:0.059390','4007:0.052970','0:0.036918','2001:0.030498','4011:0.025682','2029:0.022472','2007:0.012841','4013:0.009631','2030:0.004815','4030:0.003210','2022:0.001605',
cluster_00004,
cluster_00005,'4025:0.985366','2025:0.887805','4010:0.617073','5002:0.602439','43:0.263415','4023:0.214634','251:0.187805','2005:0.168293','2010:0.163415','4029:0.153659','0:0.151220','2023:0.148780','2029:0.146341','1025:0.136585','5001:0.080488','4005:0.051220','63:0.046341','49:0.039024','3010:0.036585','3025:0.031707','4:0.029268','4017:0.024390','4008:0.024390','41:0.024390','1005:0.024390','1023:0.017073','2008:0.014634','1029:0.012195','252:0.009756','3023:0.009756','4031:0.009756','2017:0.007317','3005:0.007317','3029:0.007317','2:0.007317','2021:0.007317','1010:0.007317','10:0.007317','4021:0.007317','4011:0.004878','1021:0.004878','4024:0.002439','4013:0.002439','24:0.002439','2000:0.002439','2013:0.002439',
cluster_00006,'5002:0.989247','4029:0.913978','2029:0.812903','4009:0.707527','4015:0.625806','2009:0.584946','4025:0.535484','4001:0.531183','2015:0.365591','4007:0.354839','4008:0.270968','4013:0.182796','2025:0.156989','4031:0.139785','43:0.135484','2008:0.098925','4016:0.094624','4017:0.075269','63:0.058065','2007:0.051613','4030:0.049462','0:0.038710','4011:0.034409','53:0.023656','4022:0.012903','2022:0.010753','2001:0.010753','4010:0.008602','47:0.008602','4023:0.008602','41:0.006452','2016:0.006452','4024:0.006452','2030:0.004301','1025:0.004301','44:0.002151','2024:0.002151','2013:0.002151','2023:0.002151','4034:0.002151','4021:0.002151',
cluster_00007,'4025:0.972399','4011:0.832272','2011:0.670913','2025:0.658174','4029:0.651805','4021:0.647558','2029:0.543524','4007:0.441614','5002:0.331210','4013:0.288747','2007:0.176221','2021:0.174098','0:0.169851','4005:0.142251','4008:0.099788','2013:0.099788','43:0.097665','2005:0.070064','63:0.055202','47:0.038217','1025:0.016985','2008:0.012739','4017:0.010616','2017:0.010616','4009:0.004246','2010:0.004246','3025:0.002123','2009:0.002123','4010:0.002123','4023:0.002123',
cluster_00008,'4008:0.965746','4009:0.897238','2008:0.861878','2009:0.746961','5002:0.522652','4029:0.483978','4015:0.417680','4007:0.402210','4011:0.234254','4001:0.182320','4025:0.181215','2007:0.170166','2029:0.161326','2015:0.118232','4013:0.117127','0:0.067403','47:0.025414','43:0.012155','2011:0.008840','4016:0.008840','2025:0.004420','4031:0.003315','63:0.003315','2001:0.002210','4021:0.002210',
cluster_00009,
cluster_00010,'4008:0.955032','4031:0.828694','4015:0.732334','2031:0.719486','2015:0.676660','5002:0.550321','4001:0.458244','2008:0.408994','4009:0.269807','2009:0.201285','0:0.068522','4029:0.051392','2001:0.044968','4011:0.036403','4007:0.032120','4024:0.023555','4022:0.021413','2022:0.014989','4030:0.008565','2011:0.006424','2007:0.004283','4013:0.002141','2030:0.002141',
