Cluster Index	Location Label
cluster_00001.vtp	c
cluster_00002.vtp	h
cluster_00003.vtp	h
cluster_00004.vtp	h
cluster_00005.vtp	h
cluster_00006.vtp	h
cluster_00007.vtp	h
cluster_00008.vtp	c
cluster_00009.vtp	h
cluster_00010.vtp	h
cluster_00011.vtp	c
cluster_00012.vtp	h
cluster_00013.vtp	h
cluster_00014.vtp	h
cluster_00015.vtp	h
cluster_00016.vtp	h
cluster_00017.vtp	c
cluster_00018.vtp	h
cluster_00019.vtp	h
cluster_00020.vtp	h
cluster_00021.vtp	c
cluster_00022.vtp	h
cluster_00023.vtp	c
cluster_00024.vtp	c
cluster_00025.vtp	h
cluster_00026.vtp	h
cluster_00027.vtp	h
cluster_00028.vtp	c
cluster_00029.vtp	h
cluster_00030.vtp	h
cluster_00031.vtp	h
cluster_00032.vtp	h
cluster_00033.vtp	h
cluster_00034.vtp	h
cluster_00035.vtp	c
cluster_00036.vtp	c
cluster_00037.vtp	h
cluster_00038.vtp	h
cluster_00039.vtp	h
cluster_00040.vtp	c
cluster_00041.vtp	h
cluster_00042.vtp	h
cluster_00043.vtp	h
cluster_00044.vtp	c
cluster_00045.vtp	h
cluster_00046.vtp	h
cluster_00047.vtp	h
cluster_00048.vtp	h
cluster_00049.vtp	h
cluster_00050.vtp	h
cluster_00051.vtp	h
cluster_00052.vtp	h
cluster_00053.vtp	h
cluster_00054.vtp	c
cluster_00055.vtp	h
cluster_00056.vtp	h
cluster_00057.vtp	h
cluster_00058.vtp	h
cluster_00059.vtp	h
cluster_00060.vtp	h
cluster_00061.vtp	h
cluster_00062.vtp	h
cluster_00063.vtp	h
cluster_00064.vtp	h
cluster_00065.vtp	h
cluster_00066.vtp	h
cluster_00067.vtp	c
cluster_00068.vtp	h
cluster_00069.vtp	h
cluster_00070.vtp	c
cluster_00071.vtp	h
cluster_00072.vtp	h
cluster_00073.vtp	h
cluster_00074.vtp	h
cluster_00075.vtp	h
cluster_00076.vtp	h
cluster_00077.vtp	c
cluster_00078.vtp	h
cluster_00079.vtp	h
cluster_00080.vtp	h
cluster_00081.vtp	h
cluster_00082.vtp	h
cluster_00083.vtp	h
cluster_00084.vtp	h
cluster_00085.vtp	h
cluster_00086.vtp	h
cluster_00087.vtp	h
cluster_00088.vtp	h
cluster_00089.vtp	h
cluster_00090.vtp	h
cluster_00091.vtp	h
cluster_00092.vtp	h
cluster_00093.vtp	h
cluster_00094.vtp	h
cluster_00095.vtp	c
cluster_00096.vtp	h
cluster_00097.vtp	h
cluster_00098.vtp	h
cluster_00099.vtp	h
cluster_00100.vtp	h
cluster_00101.vtp	h
cluster_00102.vtp	h
cluster_00103.vtp	h
cluster_00104.vtp	h
cluster_00105.vtp	h
cluster_00106.vtp	h
cluster_00107.vtp	c
cluster_00108.vtp	h
cluster_00109.vtp	h
cluster_00110.vtp	h
cluster_00111.vtp	h
cluster_00112.vtp	h
cluster_00113.vtp	h
cluster_00114.vtp	h
cluster_00115.vtp	h
cluster_00116.vtp	h
cluster_00117.vtp	h
cluster_00118.vtp	h
cluster_00119.vtp	h
cluster_00120.vtp	h
cluster_00121.vtp	h
cluster_00122.vtp	h
cluster_00123.vtp	h
cluster_00124.vtp	h
cluster_00125.vtp	h
cluster_00126.vtp	h
cluster_00127.vtp	h
cluster_00128.vtp	h
cluster_00129.vtp	h
cluster_00130.vtp	h
cluster_00131.vtp	h
cluster_00132.vtp	h
cluster_00133.vtp	h
cluster_00134.vtp	h
cluster_00135.vtp	c
cluster_00136.vtp	h
cluster_00137.vtp	h
cluster_00138.vtp	h
cluster_00139.vtp	h
cluster_00140.vtp	h
cluster_00141.vtp	h
cluster_00142.vtp	h
