Cluster Index, Regions:Probability, 
cluster_00001,'5001:0.9967','251:0.87841','1010:0.83048','1008:0.78684','1025:0.5599','1009:0.38426','1029:0.35392','1015:0.31129','1023:0.25664','1011:0.25643','1031:0.19056','1001:0.16964','1017:0.16417','252:0.083575','1007:0.073133','1022:0.062732','1013:0.041767','1030:0.040951','2:0.023902','1024:0.019905','10:0.018681','1035:0.0099931','17:0.0080352','1005:0.0076681','1016:0.0034262','1034:0.0018355','11:0.0016315','1021:0.0015907','28:0.00089734','8:0.0006934','16:0.0003263','77:0.00020394','1028:0.00016315','12:4.0788e-05','13:4.0788e-05',
cluster_00002,'1029:0.97398','1025:0.83481','1011:0.47752','1008:0.4549','1005:0.16551','1021:0.15151','5001:0.066254','1013:0.024733','1007:0.0052259','1017:0.0035078','1022:0.0005369','1023:0.00039373','1009:0.00025055','1010:0.00025055','77:7.1587e-05','1024:7.1587e-05',
cluster_00003,'1025:0.99233','1010:0.79569','1029:0.55947','5001:0.32918','1017:0.05698','1013:0.049161','1023:0.027981','1005:0.02142','251:0.012972','17:0.011684','1016:0.011624','1021:0.008598','1022:0.00713','2:0.0041941','8:0.0012582','1024:0.0009287','10:0.00050929','1008:0.00038945','28:2.9958e-05','1007:2.9958e-05',
cluster_00004,'5001:0.99107','1030:0.95723','1029:0.94056','1025:0.67595','1001:0.593','1031:0.49738','1008:0.47177','1034:0.27259','1035:0.17078','1011:0.16661','1015:0.1038','1005:0.098356','1017:0.026247','1021:0.016955','1009:0.01497','1022:0.0069886','1013:0.0054797','1023:0.0032957','1010:0.0027398','12:0.00067503','1024:0.00063532','1007:0.00031766','1016:7.9416e-05','17:3.9708e-05','77:3.9708e-05',
cluster_00005,'1008:0.99989','1015:0.47631','1011:0.17862','1031:0.16524','1029:0.15821','1001:0.13097','5001:0.10391','1009:0.076709','1025:0.0013379','1030:0.0013008','1007:0.0012264','1022:0.00040882','1013:0.00029732','77:3.7165e-05',
cluster_00006,'1025:0.95847','1029:0.56766','5001:0.46674','1010:0.31959','1008:0.025941','1005:0.023261','1023:0.010847','251:0.0045779','1017:0.0040005','1031:0.002557','1021:0.0015672','1013:0.0013198','2:0.00090733','77:0.00020621','1035:0.00012373','1030:4.1242e-05',
cluster_00007,'1008:0.96614','1015:0.80218','1001:0.68072','1031:0.66757','1009:0.6655','5001:0.43174','1011:0.062956','1029:0.040728','1030:0.034672','1007:0.033254','1013:0.0040379','8:0.0034361','1025:0.0011454','1022:0.00083476','77:0.00011648','1016:7.7652e-05','1024:3.8826e-05','1034:1.9413e-05','1035:1.9413e-05',
cluster_00008,'5001:0.99995','251:0.95096','1010:0.91933','1025:0.86905','1015:0.77782','1001:0.75639','1009:0.70064','1029:0.64491','1030:0.31234','1031:0.25698','1023:0.24813','1007:0.20469','1017:0.18083','1013:0.098977','1008:0.06669','1016:0.032526','1022:0.029223','1035:0.027347','252:0.018945','2:0.010727','1024:0.0042011','8:0.0040162','1005:0.0033556','10:0.0032499','1034:0.0026951','17:0.0020345','1011:0.0014268','11:0.00063413','77:0.00036991','1021:0.00018496',
cluster_00009,'1025:0.95433','1010:0.9072','1023:0.59604','5001:0.4511','251:0.39467','1029:0.36402','1005:0.30876','1008:0.24386','1017:0.13152','1021:0.12783','1011:0.12424','1013:0.060919','252:0.045817','1022:0.038026','1031:0.023732','10:0.01753','1024:0.011087','2:0.010278','1030:0.0071617','1035:0.0063826','1001:0.0028167','1007:0.0028167','17:0.0027868','1028:0.0021875','11:0.0019178','1009:0.0018279','1002:0.0013185','1015:0.0006892','1034:0.00038955','77:0.00029965','253:0.00023972','8:0.00017979','28:8.9896e-05','1016:5.993e-05','12:2.9965e-05','16:2.9965e-05','1003:2.9965e-05',
cluster_00010,'1025:0.99951','1005:0.41054','1023:0.29933','1010:0.19654','1029:0.18637','5001:0.1491','1021:0.12916','1017:0.11773','1013:0.041642','1011:0.0026756','1022:0.0022378','1024:0.0019459','1008:0.0017027','1031:0.00063242','77:0.00024324','8:4.8648e-05','1028:4.8648e-05',
cluster_00011,'251:0.99169','1025:0.98715','1010:0.8982','5001:0.88906','1021:0.85517','1029:0.84534','1011:0.80948','1013:0.47055','1008:0.3085','1005:0.27226','1007:0.17965','2:0.022631','8:0.0091438','1009:0.008585','77:0.0022605','1023:0.0014478','17:0.0012446','1015:0.001143','10:0.00091438','1031:0.00063499','7:0.00043179','1017:0.00025399','1030:0.000127','1035:0.000127','1001:7.6198e-05','1016:7.6198e-05','252:5.0799e-05','11:2.5399e-05',
cluster_00012,'1008:0.9745','1031:0.54754','1001:0.26667','1029:0.18045','1030:0.12996','1015:0.11372','5001:0.08944','1009:0.0058842','1011:0.0041582','1022:0.0018437','1025:0.00031382','77:0.0002746','1013:0.00015691','1024:7.8456e-05',
